"Month, Year of Start:",Measure Names,Measure Values
November 2015,Medical Sales,647510.79
December 2015,Medical Sales,1045605.97
January 2016,Medical Sales,1236591.74
February 2016,Medical Sales,1481487.82
March 2016,Medical Sales,1935582.39
April 2016,Medical Sales,2204727.73
May 2016,Medical Sales,2261380.1
June 2016,Medical Sales,2568657.75
July 2016,Medical Sales,2936687.69
August 2016,Medical Sales,3288076.82
September 2016,Medical Sales,3853835.89
October 2016,Medical Sales,4091796.44
November 2016,Medical Sales,4440009.39
December 2016,Medical Sales,5277670.09
January 2017,Medical Sales,4840268.18
February 2017,Medical Sales,5188742.85
March 2017,Medical Sales,6358341.07
April 2017,Medical Sales,6695623.06
May 2017,Medical Sales,7070495.48
June 2017,Medical Sales,7313737.91
July 2017,Medical Sales,7155756.51
August 2017,Medical Sales,7894156.63
September 2017,Medical Sales,8097294.83
October 2017,Medical Sales,7963445.57
November 2017,Medical Sales,8328208.21
December 2017,Medical Sales,9367599.19
January 2018,Medical Sales,8820383.95
February 2018,Medical Sales,8905081.22
March 2018,Medical Sales,10771157.51
April 2018,Medical Sales,10510126.82
May 2018,Medical Sales,10889884.95
June 2018,Medical Sales,11368691.89
July 2018,Medical Sales,11549165.5
August 2018,Medical Sales,12894240.07
September 2018,Medical Sales,11940870.98
October 2018,Medical Sales,13127345.76
November 2018,Medical Sales,13232819.29
December 2018,Medical Sales,14397362.35
January 2019,Medical Sales,13137680.61
February 2019,Medical Sales,14768626.01
March 2019,Medical Sales,17984137.04
April 2019,Medical Sales,19123675.38
May 2019,Medical Sales,20833978.45
June 2019,Medical Sales,21251167.6
July 2019,Medical Sales,23106130.77
August 2019,Medical Sales,24903494.47
September 2019,Medical Sales,23271052
October 2019,Medical Sales,26146357.21
November 2019,Medical Sales,27040845.22
December 2019,Medical Sales,28700668.8
January 2020,Medical Sales,23394954.21
February 2020,Medical Sales,24777964.87
March 2020,Medical Sales,29976605.33
April 2020,Medical Sales,31110521.74
May 2020,Medical Sales,32060393.08
June 2020,Medical Sales,29652188.5
July 2020,Medical Sales,33313122.85
August 2020,Medical Sales,31544349.9
September 2020,Medical Sales,31466809.12
October 2020,Medical Sales,33134153.69
November 2020,Medical Sales,30792454.3
December 2020,Medical Sales,34482309.32
January 2021,Medical Sales,32670529.93
February 2021,Medical Sales,29578018.66
March 2021,Medical Sales,35687692.13
April 2021,Medical Sales,35281250.08
May 2021,Medical Sales,34187914.54
June 2021,Medical Sales,31775738.23
July 2021,Medical Sales,34324297.27
August 2021,Medical Sales,32633747.55
September 2021,Medical Sales,32292958.94
October 2021,Medical Sales,31875003.25
November 2021,Medical Sales,31514399.29
December 2021,Medical Sales,35425886
January 2022,Medical Sales,29686215.51
February 2022,Medical Sales,28187064.97
March 2022,Medical Sales,31965521.28
April 2022,Medical Sales,31774122.44
May 2022,Medical Sales,30132393.02
June 2022,Medical Sales,28456471.76
July 2022,Medical Sales,28966586.76
August 2022,Medical Sales,28272374.28
September 2022,Medical Sales,28055737.82
October 2022,Medical Sales,28496441.08
November 2022,Medical Sales,28204356.58
December 2022,Medical Sales,31406320.65
January 2023,Medical Sales,27621052.4
February 2023,Medical Sales,26652042.97
March 2023,Medical Sales,29018897.59
April 2023,Medical Sales,28034745.72
May 2023,Medical Sales,27461289.64
June 2023,Medical Sales,27028652.21
July 2023,Medical Sales,26844797.58
August 2023,Medical Sales,26455398.18
September 2023,Medical Sales,25999922.14
October 2023,Medical Sales,26244555.82
November 2023,Medical Sales,25582212.42
December 2023,Medical Sales,27854429.68
January 2024,Medical Sales,24338343.3
February 2024,Medical Sales,24427962.62
March 2024,Medical Sales,25917264.08
April 2024,Medical Sales,25066974.82
May 2024,Medical Sales,24413018.67
June 2024,Medical Sales,23106033.09
July 2024,Medical Sales,23351662.48
August 2024,Medical Sales,23512794.65
September 2024,Medical Sales,21699630.53
October 2024,Medical Sales,22209682.89
November 2024,Medical Sales,23534328.65
December 2024,Medical Sales,23487018.74
January 2025,Medical Sales,21459920.77
February 2025,Medical Sales,19748619.54
March 2025,Medical Sales,22108085.88
April 2025,Medical Sales,21762521.17
May 2025,Medical Sales,21449096.48
June 2025,Medical Sales,15723623.69
July 2025,Medical Sales,14936431.12
August 2025,Medical Sales,14736027.99
September 2025,Medical Sales,13261915.26
October 2025,Medical Sales,14230679.26
November 2025,Medical Sales,13655083.93
December 2025,Medical Sales,14205598.34
November 2015,Adult Use Sales,0
December 2015,Adult Use Sales,0
January 2016,Adult Use Sales,0
February 2016,Adult Use Sales,0
March 2016,Adult Use Sales,0
April 2016,Adult Use Sales,0
May 2016,Adult Use Sales,0
June 2016,Adult Use Sales,0
July 2016,Adult Use Sales,0
August 2016,Adult Use Sales,0
September 2016,Adult Use Sales,0
October 2016,Adult Use Sales,0
November 2016,Adult Use Sales,0
December 2016,Adult Use Sales,0
January 2017,Adult Use Sales,0
February 2017,Adult Use Sales,0
March 2017,Adult Use Sales,0
April 2017,Adult Use Sales,0
May 2017,Adult Use Sales,0
June 2017,Adult Use Sales,0
July 2017,Adult Use Sales,0
August 2017,Adult Use Sales,0
September 2017,Adult Use Sales,0
October 2017,Adult Use Sales,0
November 2017,Adult Use Sales,0
December 2017,Adult Use Sales,0
January 2018,Adult Use Sales,0
February 2018,Adult Use Sales,0
March 2018,Adult Use Sales,0
April 2018,Adult Use Sales,0
May 2018,Adult Use Sales,0
June 2018,Adult Use Sales,0
July 2018,Adult Use Sales,0
August 2018,Adult Use Sales,0
September 2018,Adult Use Sales,0
October 2018,Adult Use Sales,0
November 2018,Adult Use Sales,0
December 2018,Adult Use Sales,0
January 2019,Adult Use Sales,0
February 2019,Adult Use Sales,0
March 2019,Adult Use Sales,0
April 2019,Adult Use Sales,0
May 2019,Adult Use Sales,0
June 2019,Adult Use Sales,0
July 2019,Adult Use Sales,0
August 2019,Adult Use Sales,0
September 2019,Adult Use Sales,0
October 2019,Adult Use Sales,0
November 2019,Adult Use Sales,0
December 2019,Adult Use Sales,0
January 2020,Adult Use Sales,38966995.55
February 2020,Adult Use Sales,34804373.77
March 2020,Adult Use Sales,35903701.57
April 2020,Adult Use Sales,37259439.34
May 2020,Adult Use Sales,44317615.73
June 2020,Adult Use Sales,47647095.3
July 2020,Adult Use Sales,60955172.66
August 2020,Adult Use Sales,63963959.19
September 2020,Adult Use Sales,67676185.8
October 2020,Adult Use Sales,75275602.54
November 2020,Adult Use Sales,75197390.12
December 2020,Adult Use Sales,86854406.37
January 2021,Adult Use Sales,88812889.25
February 2021,Adult Use Sales,80740142.26
March 2021,Adult Use Sales,109146734.43
April 2021,Adult Use Sales,114960021.57
May 2021,Adult Use Sales,117048049.16
June 2021,Adult Use Sales,115574236.04
July 2021,Adult Use Sales,127793288.83
August 2021,Adult Use Sales,121931920.55
September 2021,Adult Use Sales,121717245.23
October 2021,Adult Use Sales,123374929.34
November 2021,Adult Use Sales,120747234.58
December 2021,Adult Use Sales,137895169.79
January 2022,Adult Use Sales,117249057.72
February 2022,Adult Use Sales,113991592.43
March 2022,Adult Use Sales,130959601.49
April 2022,Adult Use Sales,131781171.77
May 2022,Adult Use Sales,129802450.47
June 2022,Adult Use Sales,126804532.94
July 2022,Adult Use Sales,135654150.65
August 2022,Adult Use Sales,129438745.44
September 2022,Adult Use Sales,130681634.47
October 2022,Adult Use Sales,131544805.75
November 2022,Adult Use Sales,130489360.58
December 2022,Adult Use Sales,143894538.01
January 2023,Adult Use Sales,127927930.38
February 2023,Adult Use Sales,120481623.33
March 2023,Adult Use Sales,134782514.84
April 2023,Adult Use Sales,131990462.83
May 2023,Adult Use Sales,132763358.6
June 2023,Adult Use Sales,136394336.17
July 2023,Adult Use Sales,140031712.74
August 2023,Adult Use Sales,139211238.51
September 2023,Adult Use Sales,139516241.38
October 2023,Adult Use Sales,138738251.71
November 2023,Adult Use Sales,139088305.27
December 2023,Adult Use Sales,153920555.43
January 2024,Adult Use Sales,133773639.13
February 2024,Adult Use Sales,135561355.13
March 2024,Adult Use Sales,148860820.05
April 2024,Adult Use Sales,144511789.2
May 2024,Adult Use Sales,146215120.34
June 2024,Adult Use Sales,141735660.69
July 2024,Adult Use Sales,143329147
August 2024,Adult Use Sales,147381089.55
September 2024,Adult Use Sales,136499462.34
October 2024,Adult Use Sales,142241687
November 2024,Adult Use Sales,149273546.59
December 2024,Adult Use Sales,153239145.47
January 2025,Adult Use Sales,140180748.44
February 2025,Adult Use Sales,130598663.53
March 2025,Adult Use Sales,147475744.28
April 2025,Adult Use Sales,146595635.84
May 2025,Adult Use Sales,149739475.27
June 2025,Adult Use Sales,116705201.22
July 2025,Adult Use Sales,114987836.39
August 2025,Adult Use Sales,115176332.16
September 2025,Adult Use Sales,105186509.45
October 2025,Adult Use Sales,113079869.24
November 2025,Adult Use Sales,110381767.49
December 2025,Adult Use Sales,116581049.79
